epoch,accuracy,learning_rate,loss,top_3_accuracy,val_accuracy,val_loss,val_top_3_accuracy
0,0.11704834550619125,0.0010000000474974513,2.57889461517334,0.35877862572669983,0.0476190485060215,2.1911280155181885,0.3452380895614624
1,0.13994911313056946,0.0010000000474974513,2.4185972213745117,0.4325699806213379,0.0595238097012043,2.1849443912506104,0.2738095223903656
2,0.13740457594394684,0.0010000000474974513,2.3936846256256104,0.4198473393917084,0.0476190485060215,2.191049098968506,0.3095238208770752
3,0.11704834550619125,0.0010000000474974513,2.3425631523132324,0.43765902519226074,0.2380952388048172,2.142291307449341,0.5952380895614624
4,0.10178116708993912,0.0010000000474974513,2.4145448207855225,0.3562341034412384,0.0714285746216774,2.178624391555786,0.3452380895614624
5,0.11450381577014923,0.0010000000474974513,2.333604574203491,0.34860050678253174,0.0714285746216774,2.2590861320495605,0.2023809552192688
6,0.09160305559635162,0.0010000000474974513,2.3417677879333496,0.3562341034412384,0.2380952388048172,2.1840567588806152,0.3571428656578064
7,0.1221374049782753,0.0010000000474974513,2.253988265991211,0.4020356237888336,0.2380952388048172,2.1772422790527344,0.3214285671710968
8,0.11450381577014923,0.0010000000474974513,2.2756080627441406,0.3664122223854065,0.1547619104385376,2.157790184020996,0.6309523582458496
9,0.11704834550619125,0.0010000000474974513,2.2143750190734863,0.3918575048446655,0.0833333358168602,2.1860618591308594,0.2857142984867096
10,0.12468193471431732,0.0010000000474974513,2.247217893600464,0.330788791179657,0.0833333358168602,2.200531482696533,0.2857142984867096
11,0.11959287524223328,0.0005000000237487257,2.2519009113311768,0.3664122223854065,0.095238097012043,2.2080271244049072,0.2857142984867096
12,0.10432569682598114,0.0005000000237487257,2.2431483268737793,0.3867684602737427,0.0357142873108387,2.1654460430145264,0.4404761791229248
13,0.10432569682598114,0.0005000000237487257,2.2714529037475586,0.3689567446708679,0.0595238097012043,2.2314932346343994,0.1547619104385376
14,0.11450381577014923,0.0005000000237487257,2.25235915184021,0.37150126695632935,0.0476190485060215,2.1967883110046387,0.2023809552192688
15,0.11450381577014923,0.0005000000237487257,2.222517490386963,0.379134863615036,0.0595238097012043,2.1606392860412598,0.4404761791229248
16,0.11959287524223328,0.0005000000237487257,2.2279276847839355,0.32824426889419556,0.2380952388048172,2.1538803577423096,0.4404761791229248
17,0.10941475629806519,0.0005000000237487257,2.237027883529663,0.3918575048446655,0.0595238097012043,2.1540796756744385,0.5714285969734192
18,0.11704834550619125,0.0002500000118743628,2.224414348602295,0.3638676702976227,0.0476190485060215,2.170809507369995,0.3452380895614624
